Kabupaten/kota,Ibu kota,Provinsi
Kabupaten Aceh Barat,Meulaboh,Aceh
Kabupaten Aceh Barat Daya,Blangpidie,Aceh
Kabupaten Aceh Besar,Kota Jantho,Aceh
Kabupaten Aceh Jaya,Calang,Aceh
Kabupaten Aceh Selatan,Tapak Tuan,Aceh
Kabupaten Aceh Singkil,Singkil,Aceh
Kabupaten Aceh Tamiang,Karang Baru,Aceh
Kabupaten Aceh Tengah,Takengon,Aceh
Kabupaten Aceh Tenggara,Kutacane,Aceh
Kabupaten Aceh Timur,Idi Rayeuk,Aceh
Kabupaten Aceh Utara,Lhoksukon,Aceh
Kabupaten Bener Meriah,Simpang Tiga Redelong,Aceh
Kabupaten Bireuen,Bireuen,Aceh
Kabupaten Gayo Lues,Blang Kejeren,Aceh
Kabupaten Nagan Raya,Suka Makmue,Aceh
Kabupaten Pidie,Sigli,Aceh
Kabupaten Pidie Jaya,Meureudu,Aceh
Kabupaten Simeulue,Sinabang,Aceh
Kota Banda Aceh,-,Aceh
Kota Langsa,-,Aceh
Kota Lhokseumawe,-,Aceh
Kota Sabang,-,Aceh
Kota Subulussalam,-,Aceh
Kabupaten Asahan,Kisaran,Sumatera Utara
Kabupaten Batu Bara,Limapuluh,Sumatera Utara
Kabupaten Dairi,Sidikalang,Sumatera Utara
Kabupaten Deli Serdang,Lubuk Pakam,Sumatera Utara
Kabupaten Humbang Hasundutan,Dolok Sanggul,Sumatera Utara
Kabupaten Karo,Kabanjahe,Sumatera Utara
Kabupaten Labuhanbatu,Rantau Prapat,Sumatera Utara
Kabupaten Labuhanbatu Selatan,Kota Pinang,Sumatera Utara
Kabupaten Labuhanbatu Utara,Aek Kanopan,Sumatera Utara
Kabupaten Langkat,Stabat,Sumatera Utara
Kabupaten Mandailing Natal,Panyabungan,Sumatera Utara
Kabupaten Nias,Gido,Sumatera Utara
Kabupaten Nias Barat,Lahomi,Sumatera Utara
Kabupaten Nias Selatan,Teluk Dalam,Sumatera Utara
Kabupaten Nias Utara,Lotu,Sumatera Utara
Kabupaten Padang Lawas,Sibuhuan,Sumatera Utara
Kabupaten Padang Lawas Utara,Gunung Tua,Sumatera Utara
Kabupaten Pakpak Bharat,Salak,Sumatera Utara
Kabupaten Samosir,Pangururan,Sumatera Utara
Kabupaten Serdang Bedagai,Sei Rampah,Sumatera Utara
Kabupaten Simalungun,Raya,Sumatera Utara
Kabupaten Tapanuli Selatan,Sipirok,Sumatera Utara
Kabupaten Tapanuli Tengah,Pandan,Sumatera Utara
Kabupaten Tapanuli Utara,Tarutung,Sumatera Utara
Kabupaten Toba,Balige,Sumatera Utara
Kota Binjai,-,Sumatera Utara
Kota Gunungsitoli,-,Sumatera Utara
Kota Medan,-,Sumatera Utara
Kota Padangsidimpuan,-,Sumatera Utara
Kota Pematangsiantar,-,Sumatera Utara
Kota Sibolga,-,Sumatera Utara
Kota Tanjungbalai,-,Sumatera Utara
Kota Tebing Tinggi,-,Sumatera Utara
Kabupaten Agam,Lubuk Basung,Sumatera Barat
Kabupaten Dharmasraya,Pulau Punjung,Sumatera Barat
Kabupaten Kepulauan Mentawai,Tua Pejat,Sumatera Barat
Kabupaten Lima Puluh Kota,Sarilamak,Sumatera Barat
Kabupaten Padang Pariaman,Parit Malintang,Sumatera Barat
Kabupaten Pasaman,Lubuk Sikaping,Sumatera Barat
Kabupaten Pasaman Barat,Simpang Ampek,Sumatera Barat
Kabupaten Pesisir Selatan,Painan,Sumatera Barat
Kabupaten Sijunjung,Muaro Sijunjung,Sumatera Barat
